,txt,label
0,"['Green', 'Corridor', 'Provided', 'For', 'Organ', 'Transport', 'From', 'Delhi', 'Airport', 'To', 'AIIMS']",0
1,"['Lalbaug', ':', 'Congestion', 'on', 'flyover', 'as', 'tempo', 'turns', 'turtle']",0
2,"['What', 'India', 'Can', 'Learn', 'From', 'China', 'To', 'Improve', 'Its', 'Air', 'Quality']",0
3,"['LG', 'Anil', 'Baijal', 'visits', 'Okhla', 'landfill', 'site', ',', 'review', 'plan', 'on', 'its', 'closure', 'and', 'redevelopment']",0
4,"['Not', 'Averse', 'To', 'Working', 'With', 'Congress', 'To', 'Oust', 'BJP', ':', 'Mamata', 'Banerjee']",0
5,"['Mithun', 'Chakraborty', ""'s"", 'Wife', ',', 'Son', 'Get', 'Anticipatory', 'Bail', 'In', 'Rape', 'Case']",0
6,"['13', '.', 'Jasleen', 'Josen', 'Clarifies', 'After', 'Fake', 'News', 'on', 'NASA', 'Selection']",1
7,"['38', 'FIRs', 'against', 'him', 'for', 'fraud', ',', 'travel', 'agent', 'arrested', 'from', 'Patiala']",0
8,"['Theresa', 'May', 'Hails', '``', 'Breakthrough', ""''"", 'At', 'Brexit', 'Meeting', 'With', 'Her', 'Cabinet']",0
9,"['We', 'had', 'no', 'hesitation', 'in', 'inviting', 'Pranab', 'Mukherjee', ',', 'nor', 'had', 'he', 'in', 'accepting', 'it', ':', 'Mohan', 'Bhagwat']",0
10,"['Uttar', 'Pradesh', ':', 'Two', 'shot', 'in', 'Barabanki', '‘', 'encounter', '’']",0
11,"['How', 'celebrities', 'celebrated', 'Teachers', 'Day']",1
12,"['Iranian', 'Oil', 'Minister', 'Calls', 'Donald', 'Trump', ""'s"", 'Order', 'To', 'OPEC', 'Insulting']",0
13,"['Conditions', ""'Perfect"", ""'"", 'For', 'Evacuation', 'Of', 'Thai', 'Boys', 'In', 'Cave']",0
14,"['The', 'Joke', '’', 's', 'on', 'Me', ':', 'Life', 'lessons', 'from', 'Hannah', 'Gadsby']",0
15,"['Alert', 'Passenger', ""'s"", 'Tweet', 'Saves', '25', 'Girls', 'From', 'Being', 'Trafficked']",0
16,"['8', 'things', 'you', 'need', 'to', 'know', 'about', 'Samsung', 'Galaxy', 'S8']",1
17,"['``', 'There', 'Is', 'Limited', 'Time', ""''"", ',', 'Say', 'Rescuers', 'Of', 'Thai', 'Boys', 'Trapped', 'In', 'Cave']",0
18,"['Pune', ':', '83', 'Class', 'IX', 'students', '‘', 'failed', '’', 'by', 'Pune', 'school', ',', 'parents', 'furious']",0
19,"['Probe', 'Into', 'Baby', 'Sale', 'At', 'Ranchi', ""'s"", 'Missionaries', 'Of', 'Charity', 'To', 'Widen', ':', 'Police']",0
20,"['Dushyant', 'Chautala', 'sues', 'Anil', 'Vij', 'for', 'defamation']",0
21,"['6', '.', 'The', 'viral', 'photo', 'of', 'Golden', 'Temple', 'beautifully', 'lit', 'with', 'lanterns', 'during', 'Diwali']",1
22,"['1', '.', 'Akash', 'Ambani', '’', 's', 'viral', '‘', 'wedding', 'card', 'worth', 'Rs', '1.5', 'lakh', 'made', 'of', 'gold', '’']",1
23,"['7', 'cool', 'things', 'to', 'know', 'about', 'MS', 'Dhoni', ',', 'the', 'CEO']",1
24,"['BJP', 'Lawmaker', 'Blames', 'Internet', ',', 'Smartphones', 'For', 'Rise', 'In', 'Crimes', 'Against', 'Women']",0
25,"['16', 'Injured', 'After', '2', 'Buses', 'Collide', 'Head-On', 'In', 'Jammu', 'And', 'Kashmir', ""'s"", 'Reasi']",0
26,"['Donald', 'Trump', 'Gifts', 'Elton', 'John', ""'s"", ""'Rocket"", 'Man', ""'"", 'To', 'North', 'Korea', ""'s"", 'Kim', 'Jong-Un']",0
27,"['BJP', 'Keen', 'To', 'Continue', 'Governor', ""'s"", 'Rule', 'In', 'Jammu', 'and', 'Kashmir', ':', 'Ram', 'Madhav']",0
28,"['Punjab', 'Haryana', 'HC', 'upholds', 'man', '’', 's', 'conviction', 'for', 'rape', 'of', '16-year-old', 'girl', ',', 'trashes', '‘', 'consent', '’', 'angle']",0
29,"['100', ""'Chimneys"", ""'"", 'Drilled', 'Into', 'Mountain', 'In', 'Bid', 'To', 'Reach', 'Trapped', 'Thai', 'Boys']",0
30,"['3', 'Killed', 'By', 'Suspected', 'Cow', 'Smugglers', 'In', 'Meghalaya']",0
31,"['Croatia', 'end', 'Russia', '’', 's', 'run', ',', 'advance', 'to', 'World', 'Cup', 'semifinals', 'for', 'the', 'first', 'time', 'since', '1998']",0
32,"['Ambala', 'Man', 'Arrested', 'For', 'Raping', '17-Year-Old', 'Daughter']",0
33,"['UK', 'Nurse', ',', 'Who', 'Was', 'Arrested', 'For', 'Murdering', 'Eight', 'Babies', ',', 'Released', 'On', 'Bail']",0
34,"['Grand', 'Alliance', 'Of', 'Opposition', 'Parties', 'Is', 'Imaginary', ',', 'Says', 'BJP']",0
35,"['Oil', 'Price', 'Spike', 'Or', 'Ignore', 'Donald', 'Trump', ':', 'China', 'And', 'India', ""'s"", 'Big', 'Decision']",0
36,"['At', 'Mega', 'Jaipur', 'Rally', ',', 'PM', 'Modi', 'Says', '``', 'Vikas', 'Our', 'Only', 'Agenda', ""''"", ':', 'Highlights']",0
37,"['3', '.', 'Rs', '17,000', 'Crore', 'Seized', 'From', '‘', 'Under', 'Sasikala', '’', 's', 'Home', '’', '!', 'Or', 'Was', 'It', '?']",1
38,"['More', 'From', 'The', 'Quint', ':']",1
39,"['Speak', 'Easy', ':', 'A', 'Sahib', 'in', 'Awadh']",0
40,"['54', 'Deaths', 'Reported', 'In', 'Week-Long', 'Heat', 'Wave', 'In', 'Canada']",0
41,"['Out', 'of', 'My', 'Mind', ':', 'IOU', ',', 'RITA', ',', 'TINA']",0
42,"['Mumbai', ':', '29-year-old', 'airhostess', 'duped', 'of', 'Rs', '3.5', 'lakh', 'on', 'social', 'media']",0
43,"['Canadian', 'Mountaineer', 'Falls', 'To', 'Death', 'On', 'Mount', 'K2']",0
44,"['Will', 'Nirbhaya', 'Rapists', 'Be', 'Spared', 'Death', '?', 'Supreme', 'Court', 'To', 'Decide', 'On', 'Monday']",0
45,"['India', ""'s"", ""'Forrest"", 'Gump', ""'"", 'Ran', 'For', '13,750', 'Km', ',', 'Felicitated', 'At', 'Wagah', 'Border']",0
46,"['Gurgaon', ':', 'Man', 'accused', 'of', 'raping', 'daughter', '’', 's', 'friend', 'at', 'sleepover']",0
47,"['9', '.', 'Travel', 'blogger', 'got', 'caught', 'after', 'posting', 'fake', '‘', 'photoshopped', '’', 'Instagram', 'photos']",1
48,"['Unnao', 'custodial', 'death', ':', 'Case', 'CBI', 'files', 'chargesheet']",0
49,"['Telangana', 'Officer', ""'s"", 'House', 'Raided', ',', 'Assets', 'Worth', 'Rs', '10', 'Crore', 'Seized', ':', 'Police']",0
50,"['China', '’', 's', 'problem', 'now', ':', 'ageing', 'population']",0
51,"['Elon', 'Musk', 'Team', 'Working', 'On', 'Escape', 'Pod', 'Design', 'To', 'Save', 'Trapped', 'Thai', 'Children']",0
52,"['``', 'It', 'Did', 'Occur', ',', ""''"", 'Says', 'Reporter', 'Who', 'Accused', 'Justin', 'Trudeau', 'Of', 'Groping', 'Her']",0
53,"['China', ""'s"", 'First', 'Home', 'Built', 'Aircraft', 'Carrier', 'To', 'Embark', 'On', 'Second', 'Sea', 'Trial']",0
54,"['Asian', 'Games', '2018', ':', 'India', '’', 's', 'sambo', 'squad', 'pruned', 'amid', 'allegations', 'of', 'nepotism']",0
